,Compound Score,Negative Score,Neutral Score,Positive Score,Source,Text,Tweets Ago
249,0.0,0.0,1.0,0.0,CNN,"Archaeologists unearth a mysterious sarcophagus in Egypt 
https://t.co/Z5XE26NQuK https://t.co/QbVllJbH6F",50
250,-0.3412,0.131,0.869,0.0,CNN,It's not always easy going green. Starbucks and Nestlé customers embraced the brands' moves to environmentally-frie… https://t.co/zVa4gcuLL8,51
251,-0.7964,0.309,0.618,0.073,CNN,5-year-old Garrett Matthias prepared his own obituary before he died from a rare form of pediatric cancer. In words… https://t.co/kvDtKV3C0J,52
252,0.0,0.0,1.0,0.0,CNN,Starbucks is going strawless. The coffee company announced Monday that it will phase out plastic straws from all of… https://t.co/4nPdL5wkfC,53
253,-0.0772,0.067,0.933,0.0,CNN,Scientists at the Teopanzolco archeological site discovered an ancient temple this week that was exposed by the dev… https://t.co/NI106NMNKQ,54
254,-0.5267,0.159,0.841,0.0,CNN,A French bulldog named Darcy was given an oxygen mask on a JetBlue flight after showing signs of distress. Darcy's… https://t.co/BfzWbTXPzn,55
255,0.4939,0.0,0.833,0.167,CNN,"In an experiment, Australian scientists have successfully wiped out more than 80% of disease-carrying mosquitoes in… https://t.co/SKnF8K2Fiw",56
256,0.7351,0.0,0.744,0.256,CNN,A rescue organization in the Turks and Caicos Islands finds good homes for stray potcake puppies -- and allows tour… https://t.co/iNMmocN8kl,57
257,0.0,0.0,1.0,0.0,CNN,"The US Navy has expanded its hair rules for female sailors, now permitting braids, ponytails and lock hairstyles… https://t.co/dOUdRk9UTb",58
258,0.7717,0.0,0.642,0.358,CNN,There is now only one Blockbuster store left in the United States https://t.co/eVtGl36DfQ https://t.co/mSVPk9Ctj8,59
259,0.0,0.0,1.0,0.0,CNN,Shark bites Instagram model posing in the Bahamas https://t.co/w8PWXHQQA9 https://t.co/PDEQl5ItJK,60
260,-0.34,0.18,0.738,0.082,CNN,"Build-A-Bear was forced to turn customers away after an onslaught of people came to take advantage of its ""pay your… https://t.co/mQstVtHGrj",61
261,-0.7964,0.253,0.747,0.0,CNN,"Hawaii just became the first state in the US to ban the sale of sunscreens that can harm coral reefs. Banana Boat,… https://t.co/3gDJp7a6Pr",62
262,0.4215,0.0,0.851,0.149,CNN,The first underwater museum in the United States has opened off the coast of northwest Florida… https://t.co/U10bURPlJy,63
263,-0.5423,0.2,0.8,0.0,CNN,"A flight from Hong Kong to the Chinese mainland suddenly lost air pressure and dropped nearly 20,000 feet because t… https://t.co/PwqdFH1baL",64
264,-0.5574,0.175,0.825,0.0,CNN,The world's largest water slide will be demolished after a boy died on the ride in 2016 https://t.co/qy7pPAIIpj https://t.co/5B2eS3BeUG,65
265,0.0,0.0,1.0,0.0,CNN,"A particle called a neutrino was detected on Earth, found by sensors deep in the Antarctic ice, and traced to its s… https://t.co/2hYUZxCN18",66
266,0.4005,0.072,0.77,0.159,CNN,Donald Trump says he's more popular than Abraham Lincoln. That's a hard claim to back up. https://t.co/OuPCv74UuU https://t.co/8Vq521unnS,67
267,-0.5574,0.159,0.841,0.0,CNN,"Nancy Sinatra, the first wife of singer Frank Sinatra, died Friday at the age of 101, her daughter said https://t.co/Vrg3IJD89f",68
268,-0.5423,0.211,0.717,0.072,CNN,A Florida man had a heart attack while laying sod in his front yard to avoid getting a fine from his homeowner's as… https://t.co/kR8NfiUSis,69
269,0.4019,0.0,0.87,0.13,CNN,A jury has awarded $4.62 billion to 22 women who sued pharmaceutical giant Johnson &amp; Johnson alleging their ovarian… https://t.co/rQDYbNWZTD,70
270,0.1779,0.0,0.928,0.072,CNN,These giant avocados are growing in Australia. Some have been known to weigh up to four pounds and are about five t… https://t.co/cgXFVEx1o5,71
271,0.0,0.0,1.0,0.0,CNN,President Trump and Katy Perry are among the Twitter users hit hardest by the follower purge https://t.co/4V3kmwmrhL https://t.co/Uak1BlooYe,72
272,0.0,0.0,1.0,0.0,CNN,"A rare flood of desert rain has transformed a lake in Australia from an arid, salty basin to a spectacular, watery… https://t.co/HCBw2jd5h8",73
273,0.5574,0.0,0.841,0.159,CNN,"Is there such a thing as going too far for a laugh? #HistoryOfComedy is back, and pushing boundaries further than e… https://t.co/TFgGf1hYqY",74
274,0.0,0.0,1.0,0.0,CNN,"Meet Care-E, the automated airport assistant that scans a boarding pass, carries luggage and guides passengers to t… https://t.co/dYT6NIBJ4p",75
275,0.0,0.0,1.0,0.0,CNN,"Tomatoes and strawberries were disappearing for weeks from hanging baskets outside this family's house, but a secur… https://t.co/uqaam0yNAA",76
276,0.0,0.0,1.0,0.0,CNN,"Stitch Fix is tapping into the children's apparel market, launching subscription boxes with sizes 2T to 14. Founder… https://t.co/ZrRGUduQ40",77
277,0.0,0.0,1.0,0.0,CNN,Mysterious burns on teen's face caused by brush with toxic plant https://t.co/oHEvX9UAW9 https://t.co/bU0ztER1VM,78
278,0.5709,0.0,0.81,0.19,CNN,"RT @AC360: Hi, I'm @AndersonCooper. I am really excited about our new show on Facebook Watch called Full Circle, a program created for you,…",79
279,0.0,0.0,1.0,0.0,CNN,Roger Stone appears to be the unnamed individual in a new Russia probe indictment made public Friday who is describ… https://t.co/zeashgdqOn,80
280,-0.7003,0.225,0.775,0.0,CNN,The woman who was harassed by a man for wearing a Puerto Rico flag shirt wants the officer who ignored her pleas fo… https://t.co/JuErNNdBTT,81
281,-0.5574,0.187,0.813,0.0,CNN,"RT @AC360: Anderson Cooper: The ""witch hunt,"" as the President called it, has now yielded 191 charges against 32 individuals and 3 companie…",82
282,0.0,0.0,1.0,0.0,CNN,How will Trump deal with Putin in Helsinki? | By Michael Bociurkiw via @CNNOpinion https://t.co/8TvNaMjvxP https://t.co/5P7J59HZtl,83
283,0.0,0.0,1.0,0.0,CNN,6 takeaways from the indictment of Russians for DNC hacking https://t.co/YjtwLqHn5F https://t.co/nAryrG6hCZ,84
284,0.296,0.0,0.82,0.18,CNN,Apple is helping bring education to girls in Brazil https://t.co/iFGmNlvCNu https://t.co/yNYKe0uvdN,85
285,0.0,0.0,1.0,0.0,CNN,"Despite Russia election bombshell, the Trump-Putin show will go on | Analysis by CNN's @StCollinson… https://t.co/z05mQ9M8DT",86
286,0.0,0.0,1.0,0.0,CNN,"A Chinese spy ship is currently spying on a major US-led military exercise off the coast of Hawaii, the same exerci… https://t.co/TqPlHPG1b6",87
287,-0.9042,0.397,0.603,0.0,CNN,At least 128 people have died in a suicide attack in Pakistan that targeted the convoy of a political candidate in… https://t.co/n2w7kqnweP,88
288,-0.4767,0.14,0.86,0.0,CNN,Former Pakistani Prime Minister Nawaz Sharif and his daughter have been arrested and are being held in Islamabad af… https://t.co/w980YBz06B,89
289,0.4118,0.0,0.842,0.158,CNN,"The FDA for the first time has approved a drug to treat smallpox.

The disease was eradicated in the 1980s, but the… https://t.co/80tEjE75Yi",90
290,-0.5994,0.17,0.83,0.0,CNN,The death of a 16-year-old who was pinned and suffocated in his own minivan has prompted Cincinnati officials to im… https://t.co/l0xG9BFXxP,91
